family,d,p,q,n,rho,method,method_description,credit,credit_evidence_grade,credit_evidence,extended_status,tie,tie_note,parent,chain_root,credit_note,moller_bound,at_moller_bound,err_float64,err_extended,err_float128,digits_shipped,sum_weights,sum_weights_minus_1,min_weight,max_node_norm,min_face_distance,source_file,source_sha256,source_tree,float64_origin
legendre,2,21,11,81,0.818182,F,free nodes (no imposed symmetry),ours,lineage,"rules/lineage records how we made it: center merge: pair #38 collapsed into a center node, free-node reconvergence (center_test.jl) (parent legendre_d2_p21_n82.csv)",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302","equal count n=81, and a different rule: smr21.csv: different node set up to the cube's symmetry (tol 1e-8); Diallo and Worku, arXiv:2601.14488: published count(s) 85 for this cell, ours is 81",legendre_d2_p21_n82.csv,legendre_d2_p21_n82.csv,"our own tooling produced this rule — rules/lineage records how we made it: center merge: pair #38 collapsed into a center node, free-node reconvergence (center_test.jl) (parent legendre_d2_p21_n82.csv). There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",71,no,1.821460e-17,1.434863e-78,1.090859e-35,17+80,1,+1.821e-17,1.661768e-03,1.38444668,3.483352e-03,legendre_d2_p21_n81.csv,4d3e60171e12472a5f0d45c6dfe430364d166b8fc25fe318c83921a45c5c10f2,sync,twin-round-down
legendre,2,23,12,96,0.816497,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302","equal count n=96, and a different rule: smr23.csv: different node set up to the cube's symmetry (tol 1e-8); Diallo and Worku, arXiv:2601.14488: published count(s) 101 for this cell, ours is 96",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",84,no,1.645305e-17,2.476140e-78,1.062307e-35,17+80,1,-5.421e-18,6.113048e-04,1.392541778,2.053641e-03,legendre_d2_p23_n96.csv,b80828e2e04aaa95fb4f62f3fd08c5298b45362c882cbd1870262571c67f92c9,sync,twin-round-down
legendre,2,25,13,113,0.817704,L,literature rule,"transcribed:Festa and Sommariva 2012, SMR25",none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"same-rule:Festa and Sommariva 2012, SMR25","our bank file IS this published rule (rules/literature.tsv), confirmed here against smr25.csv",-,-,"the published rule itself, copied into the bank; not ours in any sense",97,no,2.079720e-17,1.895813e-70,5.953065e-36,17+80,1,-2.080e-17,3.647569e-06,1.405242305,2.991529e-03,legendre_d2_p25_n113.csv,3047a2bb0b46f621660d7ea39d9d48f15ebbe1f7e91295d05b6a705d8168412c,sync,twin-round-down
legendre,2,27,14,131,0.817537,F,free nodes (no imposed symmetry),ours,lineage,"rules/lineage records how we made it: center merge: pair #56 collapsed into a center node, free-node reconvergence (center_test.jl) (parent legendre_d2_p27_n132.csv)",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 132 for this cell, ours is 131; Diallo and Worku, arXiv:2601.14488: published count(s) 137 for this cell, ours is 131; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 132 for this cell, ours is 131",legendre_d2_p27_n132.csv,legendre_d2_p27_n132.csv,"our own tooling produced this rule — rules/lineage records how we made it: center merge: pair #56 collapsed into a center node, free-node reconvergence (center_test.jl) (parent legendre_d2_p27_n132.csv). There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",112,no,1.029159e-17,1.178244e-70,6.060487e-36,17+80,1,-4.445e-18,2.573336e-04,1.401272615,1.648219e-03,legendre_d2_p27_n131.csv,fbd466816dc5b40304b632fa06094272482cf9b639cbdc6c8006d4c678f30ec9,sync,twin-round-down
legendre,2,29,15,150,0.816497,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 16:50 UTC",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: the 153-node rule for this cell has negative weights and is excluded from the comparison (see COMPARISON.md); Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 153 for this cell, ours is 150; Diallo and Worku, arXiv:2601.14488: published count(s) 157 for this cell, ours is 150; Xiao and Gimbutas 2010, Comput. Math. Appl. 59, 663-676: published count(s) 152 for this cell, ours is 150; literature survey (publish/shared/literature_best.tsv, source key xiao_gimbutas2010): best published count 152 for this cell, ours is 150",unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 16:50 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",127,no,3.084178e-18,1.295380e-78,8.807238e-36,17+80,1,+4.337e-19,1.753277e-04,1.403149477,2.887010e-03,legendre_d2_p29_n150.csv,a0ff6366a8a59e8bfe9c89332427e913bc16e9a71e16faf6f5e8928f46842de5,sync,twin-round-down
legendre,2,31,16,171,0.817294,F,free nodes (no imposed symmetry),ours,lineage,"rules/lineage records how we made it: center merge: pair #70 collapsed into a center node, free-node reconvergence, jitter try 5 (center_test.jl) (parent legendre_d2_p31_n172.csv)",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: the 172-node rule for this cell has negative weights and is excluded from the comparison (see COMPARISON.md); Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 172 for this cell, ours is 171; Diallo and Worku, arXiv:2601.14488: published count(s) 177 for this cell, ours is 171; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 172 for this cell, ours is 171",legendre_d2_p31_n172.csv,legendre_d2_p31_n172.csv,"our own tooling produced this rule — rules/lineage records how we made it: center merge: pair #70 collapsed into a center node, free-node reconvergence, jitter try 5 (center_test.jl) (parent legendre_d2_p31_n172.csv). There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",144,no,9.247429e-18,2.681375e-72,5.830452e-36,17+80,1,-8.565e-18,1.641750e-04,1.406666872,1.228546e-03,legendre_d2_p31_n171.csv,8c0dcfc3257d4efb8f87ed8685ad551d94812ee7e7c087864f7c0f2f96a925fc,sync,twin-round-down
legendre,2,33,17,194,0.819317,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 16:50 UTC",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 197 for this cell, ours is 194; Diallo and Worku, arXiv:2601.14488: published count(s) 201 for this cell, ours is 194; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 197 for this cell, ours is 194",unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-02 16:50 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",161,no,7.209944e-18,2.721971e-73,1.341738e-35,17+80,1,-7.210e-18,1.621446e-04,1.401392432,9.009198e-04,legendre_d2_p33_n194.csv,0ff94e51470f08abe6f326f2d43947afe03bf0d9a9c90c2f13f29b6ab960bfb1,sync,twin-round-down
legendre,2,35,18,216,0.816497,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-03 10:50 UTC",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: the 220-node rule for this cell has negative weights and is excluded from the comparison (see COMPARISON.md); Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 220 for this cell, ours is 216; Diallo and Worku, arXiv:2601.14488: published count(s) 224 for this cell, ours is 216; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 220 for this cell, ours is 216",unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-03 10:50 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",180,no,5.946126e-18,1.922158e-77,9.686073e-36,17+80,1,-1.897e-18,1.664493e-04,1.403686861,7.393027e-04,legendre_d2_p35_n216.csv,b755cd7af4840c9ea24674d1bb09b024bd2cf17eb627e4ee27f2965d188b8606,sync,twin-round-down
legendre,2,37,19,242,0.818755,F,free nodes (no imposed symmetry),ours,log-names-file,"a worker log names this exact file on a production line — legendre_worker_d2p37_s6.log: banked legendre_d2_p37_n242.csv  (relative exactness 1.79e-14); another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log legendre_worker_d2p37_s6.log), banked 2026-09-09T16:37:37; a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_273.out), banked 2026-09-09T14:29:20Z",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 245 for this cell, ours is 242; Diallo and Worku, arXiv:2601.14488: published count(s) 249 for this cell, ours is 242; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 245 for this cell, ours is 242",unrecorded,unrecorded,"our own tooling produced this rule — a worker log names this exact file on a production line — legendre_worker_d2p37_s6.log: banked legendre_d2_p37_n242.csv  (relative exactness 1.79e-14); another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log legendre_worker_d2p37_s6.log), banked 2026-09-09T16:37:37; a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_273.out), banked 2026-09-09T14:29:20Z. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",199,no,4.995514e-18,5.308274e-76,7.335085e-36,17+80,1,-3.090e-18,2.112763e-04,1.403125336,4.996796e-07,legendre_d2_p37_n242.csv,23ce5609f5a3b094837cb0f2869e1a603ef8bf84277ed2875ff1199b98db8134,sync,twin-round-down
legendre,2,39,20,268,0.818535,F,free nodes (no imposed symmetry),ours,log-names-file,"a worker log names this exact file on a production line — legendre_worker_d2p39_s6.log: banked legendre_d2_p39_n268.csv  (relative exactness 2.22e-16); another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log legendre_worker_d2p39_s6.log), banked 2026-09-09T17:11:11; a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_276.out), banked 2026-09-09T14:27:39Z",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 274 for this cell, ours is 268; Diallo and Worku, arXiv:2601.14488: published count(s) 277 for this cell, ours is 268; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 274 for this cell, ours is 268",unrecorded,unrecorded,"our own tooling produced this rule — a worker log names this exact file on a production line — legendre_worker_d2p39_s6.log: banked legendre_d2_p39_n268.csv  (relative exactness 2.22e-16); another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log legendre_worker_d2p39_s6.log), banked 2026-09-09T17:11:11; a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_276.out), banked 2026-09-09T14:27:39Z. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",220,no,8.093802e-18,3.118714e-73,6.582768e-36,17+80,1,+1.301e-18,6.117957e-05,1.409884976,4.650297e-04,legendre_d2_p39_n268.csv,d3f95df554b96c7ac90b45a6a6dab5c3c96afcf925f024a8d0b3654018f6a97b,sync,twin-round-down
legendre,2,41,21,294,0.816497,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_278.out), banked 2026-09-09T14:29:42Z",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 303 for this cell, ours is 294; Diallo and Worku, arXiv:2601.14488: published count(s) 304 for this cell, ours is 294; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 303 for this cell, ours is 294",unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_278.out), banked 2026-09-09T14:29:42Z. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",241,no,1.001429e-17,3.790249e-74,4.227632e-36,17+80,1,-6.939e-18,7.414332e-05,1.40611782,9.998177e-04,legendre_d2_p41_n294.csv,9ef5553356d4a4aabade73c0d662d8f7712d5a2accacb342d51c166ab5da1079,sync,twin-round-down
legendre,2,43,22,324,0.818182,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_280.out), banked 2026-09-09T14:30:00Z",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 331 for this cell, ours is 324; Diallo and Worku, arXiv:2601.14488: published count(s) 336 for this cell, ours is 324; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 331 for this cell, ours is 324",unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-09-09 18:46 UTC; a cluster job log named this exact file on a production line — a job log on OSPool's access point named it (comms/provenance/clusters/ospool-ap40-logscan.tsv, log r1_14999820_280.out), banked 2026-09-09T14:30:00Z. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",264,no,8.748611e-18,8.642523e-73,1.127173e-35,17+80,1,+8.159e-18,6.516295e-05,1.410400399,6.676211e-04,legendre_d2_p43_n324.csv,c7394f40b7a988bae44fd56e115404624f29d961f2e7c1baced60f52126c868e,sync,twin-round-down
legendre,2,45,23,356,0.820346,F,free nodes (no imposed symmetry),ours,host-provenance-index,"another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log legendre_worker_d2p45_s16.log), banked 2026-09-10T04:09:23",twin-shipped,no-tie,"Festa and Sommariva 2012, J. Comput. Appl. Math. 236(17), 4296-4302: published count(s) 359 for this cell, ours is 356; Diallo and Worku, arXiv:2601.14488: published count(s) 365 for this cell, ours is 356; literature survey (publish/shared/literature_best.tsv, source key festa_sommariva2012): best published count 359 for this cell, ours is 356",unrecorded,unrecorded,"our own tooling produced this rule — another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log legendre_worker_d2p45_s16.log), banked 2026-09-10T04:09:23. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",287,no,8.632960e-18,8.913460e-72,6.561938e-36,17+80,1,+8.633e-18,4.411974e-05,1.410905706,1.467224e-04,legendre_d2_p45_n356.csv,13fd882d3ab3f7fda6131a4b1d0bc8629a18cf90f04ac2ac11a2d1f28eeb7079,sync,twin-round-down
